"State","Tier","Status","EducationBenefits","HousingBenefits","FinancialBenefits","EmploymentBenefits","RecreationBenefits","HealthcareBenefits","ResearchDate","Researcher","SourcesCount","QualityScore"
"WA","Tier2","Pending","","","","","","","","","0",""
"AZ","Tier2","Pending","","","","","","","","","0",""
"TN","Tier2","Pending","","","","","","","","","0",""
"MI","Tier2","Pending","","","","","","","","","0",""
"MO","Tier2","Pending","","","","","","","","","0",""
"IN","Tier2","Pending","","","","","","","","","0",""
"CO","Tier2","Pending","","","","","","","","","0",""
"AL","Tier2","Pending","","","","","","","","","0",""
"SC","Tier2","Pending","","","","","","","","","0",""
"KY","Tier2","Pending","","","","","","","","","0",""
"TX","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"CA","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"FL","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"IL","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"NY","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"PA","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"OH","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"VA","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"NC","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"GA","Tier1","Complete","","","","","","","2025-05-31","GV","0","High"
"WI","Tier3","Pending","","","","","","","","","0",""
"LA","Tier3","Pending","","","","","","","","","0",""
"OR","Tier3","Pending","","","","","","","","","0",""
"OK","Tier3","Pending","","","","","","","","","0",""
"AR","Tier3","Pending","","","","","","","","","0",""
"IA","Tier3","Pending","","","","","","","","","0",""
"KS","Tier3","Pending","","","","","","","","","0",""
"UT","Tier3","Pending","","","","","","","","","0",""
"NV","Tier3","Pending","","","","","","","","","0",""
"CT","Tier3","Pending","","","","","","","","","0",""
"NM","Tier4","Pending","","","","","","","","","0",""
"WV","Tier4","Pending","","","","","","","","","0",""
"NE","Tier4","Pending","","","","","","","","","0",""
"ID","Tier4","Pending","","","","","","","","","0",""
"NH","Tier4","Pending","","","","","","","","","0",""
"ME","Tier4","Pending","","","","","","","","","0",""
"MT","Tier4","Pending","","","","","","","","","0",""
"RI","Tier4","Pending","","","","","","","","","0",""
"ND","Tier4","Pending","","","","","","","","","0",""
"SD","Tier4","Pending","","","","","","","","","0",""
"DE","Tier4","Pending","","","","","","","","","0",""
"AK","Tier4","Pending","","","","","","","","","0",""
"VT","Tier4","Pending","","","","","","","","","0",""
"WY","Tier4","Pending","","","","","","","","","0",""
